ore,layer,centre_x,min_y,centre_z,tp,dist_from_spawn,west_x,east_x,north_z,south_z,size_x,size_z,dimension,route_stable
sulfur,ore.mix.sulfur,-401,9,459,/tp -401 9 459,609,-421,-380,446,472,41,26,-1,yes
copper,ore.mix.copper,26,34,-591,/tp 26 34 -591,609,12,40,-609,-572,28,37,-1,yes
tetrahedrite,ore.mix.tetrahedrite,461,106,-403,/tp 461 106 -403,610,442,480,-416,-389,38,27,-1,yes
redstone,ore.mix.redstone,-546,28,-214,/tp -546 28 -214,611,-569,-523,-227,-200,46,27,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-460,23,-363,/tp -460 23 -363,612,-476,-443,-381,-345,33,36,-1,yes
beryllium,ore.mix.beryllium,408,9,-455,/tp 408 9 -455,612,391,425,-476,-433,34,43,-1,yes
redstone,ore.mix.redstone,225,19,-559,/tp 225 19 -559,613,205,246,-583,-534,41,49,-1,yes
copper,ore.mix.copper,216,26,600,/tp 216 26 600,614,189,243,577,623,54,46,-1,yes
copper,ore.mix.copper,-311,30,-501,/tp -311 30 -501,615,-331,-291,-523,-478,40,45,-1,yes
sulfur,ore.mix.sulfur,-24,10,-595,/tp -24 10 -595,615,-36,-11,-618,-572,25,46,-1,yes
sulfur,ore.mix.sulfur,-595,6,-24,/tp -595 6 -24,615,-618,-572,-53,5,46,58,-1,yes
netherquartz,ore.mix.netherquartz,-360,50,504,/tp -360 50 504,616,-369,-350,482,527,19,45,-1,yes
sulfur,ore.mix.sulfur,-461,14,406,/tp -461 14 406,617,-481,-440,394,419,41,25,-1,yes
iron,ore.mix.iron,501,18,-369,/tp 501 18 -369,618,481,522,-387,-351,41,36,-1,yes
beryllium,ore.mix.beryllium,-501,21,356,/tp -501 21 356,620,-513,-489,343,370,24,27,-1,yes
sulfur,ore.mix.sulfur,68,7,-601,/tp 68 7 -601,621,45,92,-612,-589,47,23,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,409,38,501,/tp 409 38 501,621,395,424,483,520,29,37,-1,yes
sulfur,ore.mix.sulfur,-75,11,-596,/tp -75 11 -596,621,-101,-49,-611,-581,52,30,-1,yes
netherquartz,ore.mix.netherquartz,-504,51,-319,/tp -504 51 -319,622,-513,-494,-342,-296,19,46,-1,yes
sulfur,ore.mix.sulfur,-217,12,-557,/tp -217 12 -557,622,-233,-200,-575,-538,33,37,-1,yes
copper,ore.mix.copper,-597,6,-72,/tp -597 6 -72,623,-610,-584,-81,-63,26,18,-1,yes
tetrahedrite,ore.mix.tetrahedrite,550,101,-309,/tp 550 101 -309,624,531,569,-332,-285,38,47,-1,yes
copper,ore.mix.copper,269,41,-554,/tp 269 41 -554,624,253,285,-578,-529,32,49,-1,yes
sulfur,ore.mix.sulfur,-309,9,549,/tp -309 9 549,624,-328,-289,531,567,39,36,-1,yes
copper,ore.mix.copper,507,46,409,/tp 507 46 409,625,487,527,398,421,40,23,-1,yes
copper,ore.mix.copper,-606,23,31,/tp -606 23 31,625,-627,-584,16,47,43,31,-1,yes
copper,ore.mix.copper,-604,53,66,/tp -604 53 66,625,-618,-589,48,85,29,37,-1,yes
redstone,ore.mix.redstone,455,17,467,/tp 455 17 467,626,425,486,447,487,61,40,-1,yes
beryllium,ore.mix.beryllium,-598,6,122,/tp -598 6 122,626,-617,-578,111,133,39,22,-1,yes
copper,ore.mix.copper,125,9,-599,/tp 125 9 -599,626,102,148,-626,-572,46,54,-1,yes
tetrahedrite,ore.mix.tetrahedrite,370,106,-501,/tp 370 106 -501,627,350,390,-517,-485,40,32,-1,yes
tetrahedrite,ore.mix.tetrahedrite,159,110,-594,/tp 159 110 -594,628,143,176,-613,-575,33,38,-1,yes
iron,ore.mix.iron,-561,12,259,/tp -561 12 259,628,-581,-540,243,276,41,33,-1,yes
netherquartz,ore.mix.netherquartz,596,56,266,/tp 596 56 266,628,570,623,248,284,53,36,-1,yes
copper,ore.mix.copper,22,43,647,/tp 22 43 647,629,6,38,631,663,32,32,-1,yes
iron,ore.mix.iron,65,13,645,/tp 65 13 645,629,46,84,628,662,38,34,-1,yes
netherquartz,ore.mix.netherquartz,256,55,601,/tp 256 55 601,629,234,279,578,624,45,46,-1,yes
sulfur,ore.mix.sulfur,123,6,639,/tp 123 6 639,630,101,145,620,658,44,38,-1,yes
iron,ore.mix.iron,-269,10,-543,/tp -269 10 -543,631,-283,-254,-562,-523,29,39,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-215,83,605,/tp -215 83 605,632,-235,-194,588,623,41,35,-1,yes
copper,ore.mix.copper,-454,12,-401,/tp -454 12 -401,632,-480,-427,-423,-379,53,44,-1,yes
iron,ore.mix.iron,549,27,363,/tp 549 27 363,632,527,572,351,375,45,24,-1,yes
quartz,ore.mix.quartz,607,83,-217,/tp 607 83 -217,633,592,622,-237,-196,30,41,-1,yes
netherquartz,ore.mix.netherquartz,-23,45,651,/tp -23 45 651,634,-39,-7,636,666,32,30,-1,yes
copper,ore.mix.copper,651,52,69,/tp 651 52 69,634,627,675,58,81,48,23,-1,yes
manganese,ore.mix.manganese,-120,21,-601,/tp -120 21 -601,634,-142,-98,-613,-588,44,25,-1,yes
netherquartz,ore.mix.netherquartz,654,43,23,/tp 654 43 23,635,636,673,3,43,37,40,-1,yes
manganese,ore.mix.manganese,-552,21,-263,/tp -552 21 -263,636,-564,-539,-279,-246,25,33,-1,yes
netherquartz,ore.mix.netherquartz,-602,73,-123,/tp -602 73 -123,637,-618,-586,-134,-111,32,23,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,641,24,-120,/tp 641 24 -120,637,625,657,-129,-111,32,18,-1,yes
tetrahedrite,ore.mix.tetrahedrite,312,105,-549,/tp 312 105 -549,638,297,327,-568,-529,30,39,-1,yes
sulfur,ore.mix.sulfur,655,14,-28,/tp 655 14 -28,638,631,679,-48,-8,48,40,-1,yes
netherquartz,ore.mix.netherquartz,361,41,556,/tp 361 41 556,638,335,388,531,582,53,51,-1,yes
beryllium,ore.mix.beryllium,-68,22,651,/tp -68 22 651,639,-81,-54,636,667,27,31,-1,yes
netherquartz,ore.mix.netherquartz,653,50,-72,/tp 653 50 -72,640,628,679,-94,-49,51,45,-1,yes
netherquartz,ore.mix.netherquartz,597,47,-260,/tp 597 47 -260,641,571,624,-281,-238,53,43,-1,yes
manganese,ore.mix.manganese,-554,21,307,/tp -554 21 307,642,-565,-543,294,321,22,27,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-360,100,-502,/tp -360 100 -502,643,-377,-343,-523,-481,34,42,-1,yes
iron,ore.mix.iron,453,30,-456,/tp 453 30 -456,643,426,480,-475,-437,54,38,-1,yes
quartz,ore.mix.quartz,-404,106,502,/tp -404 106 502,643,-419,-388,484,521,31,37,-1,yes
netherquartz,ore.mix.netherquartz,-608,64,163,/tp -608 64 163,644,-630,-586,142,185,44,43,-1,yes
copper,ore.mix.copper,-594,53,215,/tp -594 53 215,644,-615,-572,197,233,43,36,-1,yes
redstone,ore.mix.redstone,655,14,122,/tp 655 14 122,644,634,676,106,139,42,33,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-449,81,461,/tp -449 81 461,644,-472,-426,442,481,46,39,-1,yes
redstone,ore.mix.redstone,-598,27,-165,/tp -598 27 -165,644,-613,-582,-189,-140,31,49,-1,yes
netherquartz,ore.mix.netherquartz,-166,41,-599,/tp -166 41 -599,644,-188,-144,-619,-578,44,41,-1,yes
iron,ore.mix.iron,-504,18,-360,/tp -504 18 -360,645,-515,-493,-379,-340,22,39,-1,yes
netherquartz,ore.mix.netherquartz,-260,71,599,/tp -260 71 599,645,-277,-242,577,622,35,45,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,598,29,311,/tp 598 29 311,649,579,618,302,321,39,19,-1,yes
iron,ore.mix.iron,502,34,-415,/tp 502 34 -415,649,486,518,-438,-392,32,46,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,167,8,650,/tp 167 8 650,649,158,176,639,662,18,23,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-417,104,-464,/tp -417 104 -464,650,-434,-399,-481,-447,35,34,-1,yes
copper,ore.mix.copper,641,48,211,/tp 641 48 211,651,627,656,192,231,29,39,-1,yes
quartz,ore.mix.quartz,216,112,-603,/tp 216 112 -603,651,196,236,-621,-585,40,36,-1,yes
netherquartz,ore.mix.netherquartz,-115,67,655,/tp -115 67 655,651,-128,-102,637,673,26,36,-1,yes
netherquartz,ore.mix.netherquartz,654,65,162,/tp 654 65 162,651,638,671,144,180,33,36,-1,yes
copper,ore.mix.copper,447,34,508,/tp 447 34 508,651,428,466,495,522,38,27,-1,yes
copper,ore.mix.copper,555,7,-354,/tp 555 7 -354,652,544,567,-378,-330,23,48,-1,yes
sulfur,ore.mix.sulfur,403,6,-509,/tp 403 6 -509,652,386,420,-533,-485,34,48,-1,yes
redstone,ore.mix.redstone,545,11,405,/tp 545 11 405,653,523,568,393,417,45,24,-1,yes
sulfur,ore.mix.sulfur,-355,8,553,/tp -355 8 553,653,-370,-340,539,568,30,29,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-505,88,411,/tp -505 88 411,655,-534,-475,395,428,59,33,-1,yes
beryllium,ore.mix.beryllium,-165,12,647,/tp -165 12 647,655,-181,-148,629,666,33,37,-1,yes
beryllium,ore.mix.beryllium,-213,15,-596,/tp -213 15 -596,656,-227,-198,-611,-580,29,31,-1,yes
beryllium,ore.mix.beryllium,-546,18,354,/tp -546 18 354,657,-562,-529,339,369,33,30,-1,yes
netherquartz,ore.mix.netherquartz,-312,45,-550,/tp -312 45 -550,657,-330,-294,-576,-523,36,53,-1,yes
iron,ore.mix.iron,-640,21,-20,/tp -640 21 -20,660,-658,-621,-35,-4,37,31,-1,yes
copper,ore.mix.copper,650,30,-174,/tp 650 30 -174,660,621,679,-189,-159,58,30,-1,yes
sulfur,ore.mix.sulfur,218,5,647,/tp 218 5 647,660,193,243,624,671,50,47,-1,yes
copper,ore.mix.copper,312,46,609,/tp 312 46 609,660,300,325,592,627,25,35,-1,yes
redstone,ore.mix.redstone,506,16,465,/tp 506 16 465,661,485,527,448,483,42,35,-1,yes
iron,ore.mix.iron,-313,34,594,/tp -313 34 594,665,-332,-294,572,616,38,44,-1,yes
tetrahedrite,ore.mix.tetrahedrite,411,101,555,/tp 411 101 555,665,394,429,544,566,35,22,-1,yes
iron,ore.mix.iron,-560,10,-309,/tp -560 10 -309,665,-582,-538,-332,-286,44,46,-1,yes
beryllium,ore.mix.beryllium,355,10,-557,/tp 355 10 -557,666,337,374,-573,-540,37,33,-1,yes
sulfur,ore.mix.sulfur,-647,12,24,/tp -647 12 24,666,-675,-619,-5,53,56,58,-1,yes
redstone,ore.mix.redstone,641,18,-221,/tp 641 18 -221,666,623,660,-244,-198,37,46,-1,yes
sulfur,ore.mix.sulfur,-606,14,-218,/tp -606 14 -218,668,-621,-591,-227,-208,30,19,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-647,5,72,/tp -647 5 72,668,-658,-635,50,95,23,45,-1,yes
iron,ore.mix.iron,-646,19,-66,/tp -646 19 -66,670,-672,-619,-89,-42,53,47,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-445,102,501,/tp -445 102 501,670,-464,-425,473,529,39,56,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,262,11,-606,/tp 262 11 -606,670,242,282,-619,-592,40,27,-1,yes
netherquartz,ore.mix.netherquartz,20,45,688,/tp 20 45 688,670,5,35,669,707,30,38,-1,yes
iron,ore.mix.iron,597,29,356,/tp 597 29 356,670,579,615,342,370,36,28,-1,yes
manganese,ore.mix.manganese,604,23,-310,/tp 604 23 -310,671,587,622,-323,-297,35,26,-1,yes
quartz,ore.mix.quartz,359,110,597,/tp 359 110 597,671,344,375,579,615,31,36,-1,yes
iron,ore.mix.iron,-608,17,261,/tp -608 17 261,672,-626,-590,234,289,36,55,-1,yes
redstone,ore.mix.redstone,272,20,641,/tp 272 20 641,672,249,295,620,663,46,43,-1,yes
tetrahedrite,ore.mix.tetrahedrite,73,100,-653,/tp 73 100 -653,673,64,82,-665,-640,18,25,-1,yes
tetrahedrite,ore.mix.tetrahedrite,125,101,-647,/tp 125 101 -647,673,102,148,-660,-634,46,26,-1,yes
sulfur,ore.mix.sulfur,-22,14,-655,/tp -22 14 -655,674,-38,-5,-678,-631,33,47,-1,yes
redstone,ore.mix.redstone,693,15,26,/tp 693 15 26,674,681,706,12,40,25,28,-1,yes
sulfur,ore.mix.sulfur,-591,7,304,/tp -591 7 304,674,-612,-570,287,322,42,35,-1,yes
sulfur,ore.mix.sulfur,644,11,272,/tp 644 11 272,675,628,660,253,292,32,39,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-71,17,-651,/tp -71 17 -651,675,-88,-53,-669,-632,35,37,-1,yes
netherquartz,ore.mix.netherquartz,-400,62,-513,/tp -400 62 -513,676,-418,-381,-535,-491,37,44,-1,yes
redstone,ore.mix.redstone,-225,8,648,/tp -225 8 648,676,-244,-205,627,669,39,42,-1,yes
tetrahedrite,ore.mix.tetrahedrite,19,95,-658,/tp 19 95 -658,676,1,37,-676,-639,36,37,-1,yes
iron,ore.mix.iron,-461,15,-459,/tp -461 15 -459,677,-476,-446,-471,-446,30,25,-1,yes
tetrahedrite,ore.mix.tetrahedrite,501,104,-457,/tp 501 104 -457,677,473,529,-485,-428,56,57,-1,yes
tetrahedrite,ore.mix.tetrahedrite,694,109,72,/tp 694 109 72,677,680,709,55,89,29,34,-1,yes
netherquartz,ore.mix.netherquartz,460,55,-496,/tp 460 55 -496,677,444,477,-518,-473,33,45,-1,yes
iron,ore.mix.iron,546,33,-409,/tp 546 33 -409,678,530,563,-429,-388,33,41,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-257,112,-601,/tp -257 112 -601,678,-280,-234,-613,-589,46,24,-1,yes
iron,ore.mix.iron,697,20,-25,/tp 697 20 -25,679,688,706,-34,-16,18,18,-1,yes
redstone,ore.mix.redstone,-31,8,695,/tp -31 8 695,679,-47,-15,681,710,32,29,-1,yes
redstone,ore.mix.redstone,67,12,695,/tp 67 12 695,679,55,80,684,707,25,23,-1,yes
sulfur,ore.mix.sulfur,-120,10,-647,/tp -120 10 -647,679,-131,-109,-661,-632,22,29,-1,yes
sulfur,ore.mix.sulfur,-655,13,111,/tp -655 13 111,680,-677,-632,89,134,45,45,-1,yes
sulfur,ore.mix.sulfur,-499,5,458,/tp -499 5 458,680,-514,-484,445,472,30,27,-1,yes
netherquartz,ore.mix.netherquartz,-602,40,-259,/tp -602 40 -259,680,-611,-592,-282,-235,19,47,-1,yes
sulfur,ore.mix.sulfur,-511,11,-408,/tp -511 11 -408,680,-525,-496,-423,-393,29,30,-1,yes
netherquartz,ore.mix.netherquartz,-353,65,-552,/tp -353 65 -552,681,-369,-336,-577,-526,33,51,-1,yes
beryllium,ore.mix.beryllium,-650,7,-120,/tp -650 7 -120,683,-663,-636,-135,-104,27,31,-1,yes
beryllium,ore.mix.beryllium,-649,19,168,/tp -649 19 168,685,-666,-631,147,189,35,42,-1,yes
netherquartz,ore.mix.netherquartz,309,54,-603,/tp 309 54 -603,685,290,329,-631,-575,39,56,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-407,80,555,/tp -407 80 555,685,-429,-384,528,582,45,54,-1,yes
tetrahedrite,ore.mix.tetrahedrite,697,89,125,/tp 697 89 125,686,688,706,100,150,18,50,-1,yes
sulfur,ore.mix.sulfur,164,12,-652,/tp 164 12 -652,686,150,178,-677,-627,28,50,-1,yes
sulfur,ore.mix.sulfur,-542,8,414,/tp -542 8 414,687,-561,-522,399,430,39,31,-1,yes
netherquartz,ore.mix.netherquartz,701,44,-66,/tp 701 44 -66,687,678,724,-87,-45,46,42,-1,yes
sulfur,ore.mix.sulfur,-266,9,643,/tp -266 9 643,687,-278,-254,619,667,24,48,-1,yes
redstone,ore.mix.redstone,-355,19,596,/tp -355 19 596,688,-379,-331,581,612,48,31,-1,yes
redstone,ore.mix.redstone,126,24,698,/tp 126 24 698,688,109,144,674,722,35,48,-1,yes
iron,ore.mix.iron,503,24,508,/tp 503 24 508,689,478,529,496,520,51,24,-1,yes
sulfur,ore.mix.sulfur,592,5,400,/tp 592 5 400,689,576,609,381,420,33,39,-1,yes
iron,ore.mix.iron,-176,13,-643,/tp -176 13 -643,689,-197,-154,-669,-617,43,52,-1,yes
sulfur,ore.mix.sulfur,694,8,160,/tp 694 8 160,690,669,719,143,177,50,34,-1,yes
redstone,ore.mix.redstone,-559,33,-361,/tp -559 33 -361,691,-574,-544,-372,-350,30,22,-1,yes
iron,ore.mix.iron,455,12,554,/tp 455 12 554,691,442,469,538,570,27,32,-1,yes
tetrahedrite,ore.mix.tetrahedrite,654,84,-257,/tp 654 84 -257,692,638,671,-274,-239,33,35,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-76,22,703,/tp -76 22 703,692,-94,-58,688,718,36,30,-1,yes
sulfur,ore.mix.sulfur,401,7,595,/tp 401 7 595,692,377,426,575,616,49,41,-1,yes
redstone,ore.mix.redstone,210,15,-647,/tp 210 15 -647,692,194,226,-670,-624,32,46,-1,yes
tetrahedrite,ore.mix.tetrahedrite,557,113,455,/tp 557 113 455,693,539,576,430,480,37,50,-1,yes
iron,ore.mix.iron,409,21,-555,/tp 409 21 -555,693,384,434,-571,-538,50,33,-1,yes
iron,ore.mix.iron,599,22,-361,/tp 599 22 -361,693,583,615,-384,-338,32,46,-1,yes
netherquartz,ore.mix.netherquartz,698,73,-126,/tp 698 73 -126,694,682,715,-141,-110,33,31,-1,yes
sulfur,ore.mix.sulfur,-648,14,214,/tp -648 14 214,695,-677,-619,195,234,58,39,-1,yes
copper,ore.mix.copper,-648,47,-176,/tp -648 47 -176,695,-667,-629,-198,-154,38,44,-1,yes
sulfur,ore.mix.sulfur,303,11,652,/tp 303 11 652,695,286,320,639,666,34,27,-1,yes
iron,ore.mix.iron,-127,15,702,/tp -127 15 702,699,-147,-107,686,718,40,32,-1,yes
redstone,ore.mix.redstone,-457,27,-495,/tp -457 27 -495,700,-469,-444,-512,-477,25,35,-1,yes
copper,ore.mix.copper,-211,6,-643,/tp -211 6 -643,700,-228,-194,-663,-622,34,41,-1,yes
tetrahedrite,ore.mix.tetrahedrite,654,91,316,/tp 654 91 316,701,635,673,303,329,38,26,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-598,85,-314,/tp -598 85 -314,701,-627,-569,-335,-293,58,42,-1,yes
redstone,ore.mix.redstone,174,33,703,/tp 174 33 703,702,153,195,688,718,42,30,-1,yes
beryllium,ore.mix.beryllium,700,14,-161,/tp 700 14 -161,704,684,717,-176,-146,33,30,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-644,85,260,/tp -644 85 260,706,-657,-631,236,284,26,48,-1,yes
sulfur,ore.mix.sulfur,-174,10,697,/tp -174 10 697,706,-197,-150,682,713,47,31,-1,yes
iron,ore.mix.iron,-323,34,-602,/tp -323 34 -602,708,-342,-303,-613,-591,39,22,-1,yes
redstone,ore.mix.redstone,264,18,-646,/tp 264 18 -646,708,239,289,-657,-634,50,23,-1,yes
sulfur,ore.mix.sulfur,-648,14,-221,/tp -648 14 -221,709,-674,-621,-236,-206,53,30,-1,yes
iron,ore.mix.iron,-499,18,502,/tp -499 18 502,709,-512,-486,479,526,26,47,-1,yes
redstone,ore.mix.redstone,-447,22,552,/tp -447 22 552,709,-464,-430,532,573,34,41,-1,yes
iron,ore.mix.iron,698,27,225,/tp 698 27 225,710,687,710,203,247,23,44,-1,yes
beryllium,ore.mix.beryllium,-691,20,-27,/tp -691 20 -27,711,-708,-674,-45,-8,34,37,-1,yes
sulfur,ore.mix.sulfur,221,9,700,/tp 221 9 700,711,207,235,675,725,28,50,-1,yes
iron,ore.mix.iron,358,34,-607,/tp 358 34 -607,711,334,382,-624,-590,48,34,-1,yes
netherquartz,ore.mix.netherquartz,653,71,-304,/tp 653 71 -304,711,627,679,-321,-286,52,35,-1,yes
iron,ore.mix.iron,-512,14,-457,/tp -512 14 -457,712,-529,-495,-475,-439,34,36,-1,yes
redstone,ore.mix.redstone,-310,12,649,/tp -310 12 649,712,-320,-300,628,671,20,43,-1,yes
copper,ore.mix.copper,-694,10,19,/tp -694 10 19,713,-717,-670,-3,42,47,45,-1,yes
sulfur,ore.mix.sulfur,-611,14,354,/tp -611 14 354,714,-630,-592,329,379,38,50,-1,yes
beryllium,ore.mix.beryllium,509,22,-502,/tp 509 22 -502,714,492,527,-515,-489,35,26,-1,yes
sulfur,ore.mix.sulfur,-594,7,-351,/tp -594 7 -351,715,-611,-577,-369,-332,34,37,-1,yes
iron,ore.mix.iron,80,30,-694,/tp 80 30 -694,715,62,99,-712,-675,37,37,-1,yes
iron,ore.mix.iron,-401,27,-562,/tp -401 27 -562,716,-419,-383,-580,-544,36,36,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-403,16,597,/tp -403 16 597,716,-420,-386,584,610,34,26,-1,yes
sulfur,ore.mix.sulfur,-264,12,-640,/tp -264 12 -640,716,-276,-251,-658,-622,25,36,-1,yes
sulfur,ore.mix.sulfur,647,14,362,/tp 647 14 362,716,632,663,350,374,31,24,-1,yes
beryllium,ore.mix.beryllium,-23,14,-698,/tp -23 14 -698,717,-33,-12,-708,-687,21,21,-1,yes
iron,ore.mix.iron,28,14,-699,/tp 28 14 -699,717,15,41,-727,-671,26,56,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,692,14,265,/tp 692 14 265,717,674,710,251,279,36,28,-1,yes
iron,ore.mix.iron,-550,13,454,/tp -550 13 454,717,-563,-537,426,483,26,57,-1,yes
iron,ore.mix.iron,364,32,647,/tp 364 32 647,717,344,385,622,672,41,50,-1,yes
netherquartz,ore.mix.netherquartz,556,40,-458,/tp 556 40 -458,718,534,579,-475,-440,45,35,-1,yes
beryllium,ore.mix.beryllium,-72,8,-695,/tp -72 8 -695,719,-86,-57,-714,-676,29,38,-1,yes
copper,ore.mix.copper,75,43,735,/tp 75 43 735,719,64,87,714,757,23,43,-1,yes
quartz,ore.mix.quartz,700,85,-213,/tp 700 85 -213,719,682,718,-230,-196,36,34,-1,yes
redstone,ore.mix.redstone,597,15,448,/tp 597 15 448,720,570,624,427,469,54,42,-1,yes
netherquartz,ore.mix.netherquartz,601,52,-406,/tp 601 52 -406,720,580,622,-432,-379,42,53,-1,yes
copper,ore.mix.copper,507,19,547,/tp 507 19 547,720,482,533,528,566,51,38,-1,yes
redstone,ore.mix.redstone,-218,16,699,/tp -218 16 699,721,-235,-200,686,713,35,27,-1,yes
sulfur,ore.mix.sulfur,-700,5,70,/tp -700 5 70,721,-722,-677,56,84,45,28,-1,yes
redstone,ore.mix.redstone,116,9,-697,/tp 116 9 -697,722,95,138,-719,-675,43,44,-1,yes
iron,ore.mix.iron,-563,14,-409,/tp -563 14 -409,722,-583,-543,-437,-380,40,57,-1,yes
iron,ore.mix.iron,-362,14,-597,/tp -362 14 -597,723,-389,-335,-613,-581,54,32,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-648,38,-262,/tp -648 38 -262,723,-658,-637,-279,-244,21,35,-1,yes
copper,ore.mix.copper,268,27,698,/tp 268 27 698,724,247,289,686,710,42,24,-1,yes
redstone,ore.mix.redstone,465,26,-552,/tp 465 26 -552,724,445,485,-568,-535,40,33,-1,yes
quartz,ore.mix.quartz,742,107,-27,/tp 742 107 -27,724,728,756,-45,-8,28,37,-1,yes
redstone,ore.mix.redstone,-699,15,-76,/tp -699 15 -76,724,-716,-681,-102,-50,35,52,-1,yes
iron,ore.mix.iron,-647,18,301,/tp -647 18 301,724,-670,-624,281,322,46,41,-1,yes
iron,ore.mix.iron,553,20,508,/tp 553 20 508,725,539,567,492,524,28,32,-1,yes
iron,ore.mix.iron,-697,19,130,/tp -697 19 130,725,-712,-681,109,151,31,42,-1,yes
netherquartz,ore.mix.netherquartz,689,66,-262,/tp 689 66 -262,726,670,708,-286,-238,38,48,-1,yes
netherquartz,ore.mix.netherquartz,-258,58,689,/tp -258 58 689,726,-280,-236,674,704,44,30,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,745,18,28,/tp 745 18 28,726,732,758,11,45,26,34,-1,yes
iron,ore.mix.iron,-692,13,169,/tp -692 13 169,727,-714,-669,156,183,45,27,-1,yes
sulfur,ore.mix.sulfur,166,14,-694,/tp 166 14 -694,727,141,192,-719,-669,51,50,-1,yes
manganese,ore.mix.manganese,17,20,746,/tp 17 20 746,728,2,33,728,764,31,36,-1,yes
tetrahedrite,ore.mix.tetrahedrite,741,87,114,/tp 741 87 114,728,722,760,90,138,38,48,-1,yes
sulfur,ore.mix.sulfur,-497,11,-499,/tp -497 11 -499,730,-514,-479,-522,-476,35,46,-1,yes
iron,ore.mix.iron,-697,20,-123,/tp -697 20 -123,730,-723,-671,-137,-109,52,28,-1,yes
sulfur,ore.mix.sulfur,454,5,604,/tp 454 5 604,730,434,475,585,624,41,39,-1,yes
quartz,ore.mix.quartz,407,98,-600,/tp 407 98 -600,730,387,427,-613,-586,40,27,-1,yes
sulfur,ore.mix.sulfur,306,13,-653,/tp 306 13 -653,730,286,327,-672,-634,41,38,-1,yes
sulfur,ore.mix.sulfur,118,13,742,/tp 118 13 742,731,102,134,731,753,32,22,-1,yes
netherquartz,ore.mix.netherquartz,-17,73,749,/tp -17 73 749,732,-36,2,730,769,38,39,-1,yes
sulfur,ore.mix.sulfur,-605,11,400,/tp -605 11 400,732,-624,-586,377,423,38,46,-1,yes
netherquartz,ore.mix.netherquartz,738,60,-121,/tp 738 60 -121,732,717,759,-144,-98,42,46,-1,yes
sulfur,ore.mix.sulfur,750,9,68,/tp 750 9 68,733,734,767,46,91,33,45,-1,yes
netherquartz,ore.mix.netherquartz,-132,56,-700,/tp -132 56 -700,734,-151,-112,-722,-677,39,45,-1,yes
tetrahedrite,ore.mix.tetrahedrite,747,107,-72,/tp 747 107 -72,734,725,769,-85,-59,44,26,-1,yes
netherquartz,ore.mix.netherquartz,646,59,-365,/tp 646 59 -365,735,634,659,-384,-346,25,38,-1,yes
tetrahedrite,ore.mix.tetrahedrite,740,93,165,/tp 740 93 165,736,719,762,146,185,43,39,-1,yes
redstone,ore.mix.redstone,214,34,-693,/tp 214 34 -693,737,198,231,-712,-674,33,38,-1,yes
redstone,ore.mix.redstone,-695,12,-166,/tp -695 12 -166,737,-709,-680,-182,-149,29,33,-1,yes
redstone,ore.mix.redstone,-693,30,214,/tp -693 30 214,738,-717,-668,188,240,49,52,-1,yes
netherquartz,ore.mix.netherquartz,166,57,741,/tp 166 57 741,738,151,181,730,753,30,23,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,-361,10,651,/tp -361 10 651,738,-373,-348,637,666,25,29,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-73,100,751,/tp -73 100 751,739,-95,-51,734,768,44,34,-1,yes
tetrahedrite,ore.mix.tetrahedrite,-455,96,-549,/tp -455 96 -549,739,-469,-441,-566,-532,28,34,-1,yes
manganese,ore.mix.manganese,648,21,406,/tp 648 21 406,739,640,657,391,421,17,30,-1,yes
netherquartz,ore.mix.netherquartz,-120,56,746,/tp -120 56 746,741,-139,-100,717,775,39,58,-1,yes
saltpeterelectrotine,ore.mix.saltpeterelectrotine,698,39,314,/tp 698 39 314,741,688,709,296,332,21,36,-1,yes
sulfur,ore.mix.sulfur,-552,8,-456,/tp -552 8 -456,742,-583,-521,-474,-438,62,36,-1,yes
manganese,ore.mix.manganese,499,22,-548,/tp 499 22 -548,742,483,515,-561,-534,32,27,-1,yes
